Sno,bhk_type,property_type,beds,baths,balcony,address,city,state_code,country,landmark,table2key,table3key
1,3,Houses & Villas,,3,,"Chitaipur, Varanasi, Uttar Pradesh",Varanasi,Uttar Pradesh,India,,1,1
2,4+,Houses & Villas,,4+,,"Tanasha Nagar, Hyderabad, Telangana",Hyderabad,Telangana,India,,2,2
3,3,Houses & Villas,,3,,"Malayinkeezhu, Vilappil, Kerala",Vilappil,Kerala,India,,3,3
4,3,Houses & Villas,,2,,"Mabagayat, Vijayapura, Karnataka",Vijayapura,Karnataka,India,,4,4
5,2,Houses & Villas,,2,,"Aler, Hyderabad, Telangana",Hyderabad,Telangana,India,,5,5
6,4,Houses & Villas,,4,,"Rajiv Gandhi Nagar, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,India,,6,6
7,3,Houses & Villas,,3,,"Joonstate, Bhimtaal, Uttaranchal",Bhimtaal,Uttaranchal,India,,7,7
8,1,Houses & Villas,,1,,"Pinto Park, Gwalior, Madhya Pradesh",Gwalior,Madhya Pradesh,India,,8,8
9,3,Houses & Villas,,3,,"Purwa, Jabalpur, Madhya Pradesh",Jabalpur,Madhya Pradesh,India,,9,9
10,3,Houses & Villas,,3,,"Sreekaryam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,10,10
11,4,Houses & Villas,,3,,"Kalam Palayam, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,India,,11,11
12,3,Houses & Villas,,3,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,12,12
13,4+,Houses & Villas,,4+,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,13,13
14,3,Houses & Villas,,3,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,14,14
15,4,Houses & Villas,,4+,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,15,15
16,4,Houses & Villas,,4,,"Vattiyoorkavu, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,16,15
17,3,Houses & Villas,,3,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,17,17
18,2,Houses & Villas,,2,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,18,18
19,3,Houses & Villas,,3,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,19,19
20,1,Houses & Villas,,1,,"Yadagirigutta, Hyderabad, Telangana",Hyderabad,Telangana,India,,20,20
21,4+,Houses & Villas,,4+,,"Khapuria Labour Colony, Cuttack, Odisha",Cuttack,Odisha,India,,21,21
22,3,Houses & Villas,,2,,"Sita Pur, Haridwar, Uttaranchal",Haridwar,Uttaranchal,India,,22,22
23,3,Houses & Villas,,3,,"Thirumala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,23,23
24,4,Houses & Villas,,4+,,"Vattiyoorkavu, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,24,24
25,3,Houses & Villas,,3,,"Poojappura, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,25,25
26,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,26,26
27,3,Houses & Villas,,3,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,27,27
28,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,28,28
29,4,Houses & Villas,,4,,"Sreekaryam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,29,29
30,3,Houses & Villas,,3,,"Mannanthala, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,30,30
31,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,31,31
32,4,Houses & Villas,,4,,"Chenkottukonam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,32,32
33,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,33,26
34,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,34,34
35,4,Houses & Villas,,4,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,35,26
36,3,Houses & Villas,,3,,"Kazhakoottam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,36,36
37,3,Houses & Villas,,3,,"Sreekaryam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,India,,37,37
38,3,Houses & Villas,,3,,"Kalady, Kalady Ernakulam District, Kerala",Kalady Ernakulam District,Kerala,India,,38,38
