Sno_,carpetarea,status,floor,transaction_type,year_built,price_per_sqft
1,850,Ready to Move,2,,,8824
2,5000,Ready to Move,4,,,9200
3,850,Ready to Move,1,,,3412
4,1050,Ready to Move,2,,,4286
5,58,Ready to Move,2,,,42241
6,2000,Ready to Move,1,,,4000
7,900,Ready to Move,1,,,7778
8,275,Ready to Move,,,,4727
9,720,Ready to Move,3,,,4444
10,1550,Ready to Move,2,,,4000
11,150,Ready to Move,2,,,43333
12,800,Ready to Move,,,,5250
13,1800,Ready to Move,,,,6667
14,800,Ready to Move,,,,4375
15,1800,Ready to Move,,,,5278
16,1700,Ready to Move,,,,5588
17,800,Ready to Move,,,,5375
18,800,Ready to Move,,,,4625
19,900,Ready to Move,,,,5222
20,300,Under Construction,1,,,10000
21,1742,Ready to Move,5,,,20092
22,937,Ready to Move,1,,,6403
23,1600,Ready to Move,,,,3688
24,1900,Ready to Move,,,,3947
25,1100,Ready to Move,,,,6182
26,1650,Ready to Move,2,,,4364
27,1700,Ready to Move,2,,,4412
28,2000,New Launch,,,,4250
29,2150,New Launch,,,,4140
30,1400,New Launch,,,,4143
31,2000,New Launch,,,,4900
32,2300,New Launch,,,,5435
33,1800,New Launch,,,,4000
34,2100,New Launch,,,,4190
35,1850,New Launch,,,,3892
36,1450,New Launch,,,,4138
37,1650,New Launch,2,,,4121
38,1000,New Launch,1,,,2700
39,600,Ready to Move,2,,,12167
40,1080,New Launch,1,,,3426
41,650,Ready to Move,3,,,12769
42,1040,Ready to Move,,,,3750
43,2000,Ready to Move,,,,3750
44,1600,Ready to Move,,,,4062
45,1650,Ready to Move,,,,4121
46,1650,Ready to Move,,,,3939
47,600,Ready to Move,1,,,7167
48,1900,Ready to Move,2,,,3947
50,2800,Ready to Move,2,,,4286
51,2400,Ready to Move,2,,,3542
52,2300,Ready to Move,2,,,3696
53,750,Ready to Move,0,,,4400
54,1,Under Construction,0,,,5500000
55,1050,Ready to Move,2,,,3810
56,1632,New Launch,1,,,1532
57,680,Ready to Move,0,,,3088
58,800,Ready to Move,2,,,5625
59,2400,Ready to Move,3,,,2875
60,2700,Ready to Move,2,,,4630
61,1080,Ready to Move,3,,,5093
62,450,Ready to Move,1,,,889
63,0,Ready to Move,0,,,inf
64,75,Ready to Move,75,,,80000
65,48,Under Construction,1,,,17708
66,1300,Ready to Move,1,,,4769
67,700,Ready to Move,0,,,3714
68,1300,Ready to Move,1,,,1923
69,1900,Ready to Move,2,,,4000
70,2000,Ready to Move,2,,,3750
71,1300,Ready to Move,2,,,5000
72,1750,Ready to Move,2,,,4857
73,1650,New Launch,,,,4545
74,1650,New Launch,,,,4242
75,1600,New Launch,,,,4500
76,600,Ready to Move,2,,,11667
77,5000,Ready to Move,1,,,10000
78,1750,Ready to Move,2,,,4286
79,1500,Ready to Move,2,,,5333
80,1700,Ready to Move,2,,,3176
81,0,New Launch,2,,,inf
82,1200,New Launch,3,,,2917
83,850,Ready to Move,1,,,4353
84,1250,Ready to Move,0,,,11600
85,1700,Ready to Move,,,,3382
