S_no,furnished_status,facing,car_parking,type_of_ownership,booking_amount,buy_total_price
1,Furnished,West,1,,,7500000
2,Furnished,East,3,,,46000000
3,Semi-Furnished,West,1,,,2900000
4,Furnished,East,0,,,4500000
5,Unfurnished,East,1,,,2450000
6,Semi-Furnished,North,0,,,8000000
7,Semi-Furnished,South-East,1,,,7000000
8,Furnished,,0,,,1300000
9,Furnished,East,1,,,3200000
10,Semi-Furnished,East,3,,,6200000
11,Unfurnished,East,1,,,6500000
12,Semi-Furnished,,,,,4200000
13,Semi-Furnished,,,,,12000000
14,Semi-Furnished,,,,,3500000
15,Semi-Furnished,,,,,9500000
17,Semi-Furnished,,,,,4300000
18,Semi-Furnished,,,,,3700000
19,Semi-Furnished,,,,,4700000
20,Furnished,East,2,,,3000000
21,Furnished,South,3+,,,34999999
22,Semi-Furnished,West,1,,,6000000
23,Semi-Furnished,,,,,5900000
24,Semi-Furnished,,,,,7500000
25,Semi-Furnished,,,,,6800000
26,Semi-Furnished,East,2,,,7200000
27,Semi-Furnished,East,2,,,7500000
28,Semi-Furnished,East,2,,,8500000
29,Semi-Furnished,East,2,,,8900000
30,Semi-Furnished,East,2,,,5800000
31,Semi-Furnished,East,2,,,9800000
32,Semi-Furnished,East,2,,,12500000
34,Semi-Furnished,East,2,,,8800000
36,Semi-Furnished,East,2,,,6000000
37,Semi-Furnished,East,2,,,6800000
38,Semi-Furnished,East,3+,,,2700000
39,Semi-Furnished,East,3,,,7300000
40,Unfurnished,West,1,,,3700000
41,Semi-Furnished,North,1,,,8300000
42,Semi-Furnished,North,2,,,3900000
43,Semi-Furnished,,2,,,7500000
44,Semi-Furnished,,2,,,6500000
45,Semi-Furnished,,2,,,6800000
46,Semi-Furnished,,,,,6500000
47,Semi-Furnished,West,2,,,4300000
50,Semi-Furnished,East,3,,,12000000
51,Semi-Furnished,East,3+,,,8500000
53,Unfurnished,East,0,,,3300000
54,Semi-Furnished,North,0,,,5500000
55,Semi-Furnished,,,,,4000000
56,Semi-Furnished,,1,,,2500000
57,Furnished,West,0,,,2100000
58,Semi-Furnished,West,1,,,4500000
59,Semi-Furnished,West,1,,,6900000
60,Furnished,North-East,3,,,12500000
61,Furnished,South-East,1,,,5500000
62,Semi-Furnished,,,,,400000
63,Unfurnished,East,0,,,1800000
64,Semi-Furnished,East,0,,,6000000
65,Unfurnished,South-East,1,,,850000
66,Unfurnished,West,1,,,6200000
67,Unfurnished,North,2,,,2600000
68,Furnished,East,1,,,2500000
69,Semi-Furnished,East,3,,,7600000
70,Semi-Furnished,West,2,,,7500000
71,Semi-Furnished,West,2,,,6500000
73,Semi-Furnished,East,,,,7500000
74,Semi-Furnished,East,2,,,7000000
76,Semi-Furnished,East,0,,,7000000
77,Furnished,North-East,3+,,,50000000
79,Furnished,South-West,1,,,8000000
80,Semi-Furnished,South-East,2,,,5400000
81,Unfurnished,East,1,,,6300000
82,Semi-Furnished,North-East,1,,,3500000
83,Semi-Furnished,East,1,,,3700025
84,Unfurnished,,2,,,14500000
85,Unfurnished,,,,,5750000
86,Semi-Furnished,East,1,,,2500000
87,Furnished,East,1,,,2799000
88,Semi-Furnished,East,1,,,2100000
89,,,,,,
90,Furnished,East,0,,,3300000
91,Semi-Furnished,North-East,1,,,5290022
92,Unfurnished,West,1,,,3900000
93,Semi-Furnished,North-East,1,,,4590011
95,Semi-Furnished,South-West,2,,,4000000
96,Semi-Furnished,West,3+,,,7900000
97,Semi-Furnished,East,0,,,6300000
98,Semi-Furnished,East,1,,,4700000
99,Furnished,North,1,,,7000000
101,Semi-Furnished,North,1,,,3000000
102,Semi-Furnished,East,2,,,11000000
103,Semi-Furnished,North,,,,7500000
106,Semi-Furnished,East,2,,,7600000
107,Semi-Furnished,East,1,,,4890000
108,Semi-Furnished,East,1,,,3999999
109,Semi-Furnished,East,1,,,3600000
110,Semi-Furnished,East,3,,,9000000
111,Furnished,East,3+,,,23500000
112,Furnished,East,3+,,,45000000
113,Unfurnished,East,3+,,,48000000
114,Unfurnished,East,,,,250000
115,Unfurnished,East,2,,,23000000
116,Unfurnished,East,2,,,32500000
117,Semi-Furnished,East,,,,2500000
118,Semi-Furnished,,,,,3800000
119,Semi-Furnished,North,1,,,3800000
120,Unfurnished,East,1,,,1650000
121,Unfurnished,East,2,,,18500000
122,Unfurnished,East,2,,,8500000
123,Furnished,West,0,,,2500000
124,Unfurnished,East,3,,,26000000
125,Semi-Furnished,East,1,,,4200000
126,Furnished,East,2,,,28500000
127,Semi-Furnished,North,2,,,5800000
128,Unfurnished,,1,,,3500000
129,Unfurnished,East,1,,,17000000
130,Furnished,East,1,,,5500000
131,Furnished,East,1,,,3900000
132,Furnished,East,2,,,9800000
133,Furnished,East,1,,,2800000
134,Unfurnished,,2,,,6400000
135,Semi-Furnished,,,,,4500000
137,Unfurnished,North,0,,,1700000
138,Unfurnished,North,1,,,360000
139,Furnished,South-West,2,,,13000000
140,Semi-Furnished,East,3+,,,3000000
141,Semi-Furnished,East,1,,,3551000
142,Furnished,West,1,,,16500000
143,Semi-Furnished,West,3+,,,1700000
144,Semi-Furnished,North,1,,,3900000
145,Semi-Furnished,East,2,,,4300000
146,Semi-Furnished,East,,,,5600000
147,Semi-Furnished,East,2,,,23000000
148,Semi-Furnished,East,3,,,4500000
149,Furnished,East,0,,,3100000
150,Unfurnished,East,1,,,4200000
151,,South-West,1,,,19000000
153,Semi-Furnished,West,,,,500000
154,Semi-Furnished,East,3,,,11000000
155,Semi-Furnished,,3,,,8100000
156,Semi-Furnished,North-East,0,,,27000000
157,Furnished,North,1,,,8570000
159,Furnished,East,3+,,,19999999
160,Furnished,North-East,0,,,2800000
161,Unfurnished,East,3,,,9800000
163,Semi-Furnished,,,,,2800000
164,Semi-Furnished,,,,,7400000
165,Semi-Furnished,West,1,,,15000000
166,Unfurnished,East,3,,,13300000
167,Semi-Furnished,West,1,,,8000000
168,Semi-Furnished,North-East,3+,,,2500000
169,Unfurnished,East,1,,,2350000
170,Semi-Furnished,,,,,10500000
171,Unfurnished,East,2,,,1500000
172,Unfurnished,East,2,,,3000000
173,Unfurnished,West,2,,,1500000
174,Unfurnished,East,1,,,4500000
175,Semi-Furnished,East,3,,,8500000
177,Semi-Furnished,East,3,,,4700000
178,Unfurnished,South-East,2,,,7200000
179,Furnished,South-East,1,,,6570000
180,Semi-Furnished,West,2,,,2800000
181,Semi-Furnished,East,3,,,6300000
183,Semi-Furnished,East,3+,,,26500000
184,Semi-Furnished,,,,,4989890
185,Semi-Furnished,East,,,,6800000
186,Semi-Furnished,East,3,,,9800000
187,,North,,,,3200000
189,Semi-Furnished,East,2,,,6500000
190,Unfurnished,East,2,,,14000000
191,Semi-Furnished,East,2,,,24400000
192,Unfurnished,East,2,,,46500000
193,Semi-Furnished,East,3,,,31000000
194,Semi-Furnished,East,3,,,16500000
195,Semi-Furnished,East,2,,,15000000
196,Furnished,East,3+,,,20000000
197,Semi-Furnished,South-East,3+,,,16500000
198,Semi-Furnished,East,1,,,4000000
199,Semi-Furnished,North,2,,,15500000
200,Unfurnished,North-East,0,,,1800000
201,Furnished,East,2,,,26000000
202,Unfurnished,East,2,,,15500000
203,Furnished,East,2,,,23000000
204,Semi-Furnished,East,2,,,16500000
205,Unfurnished,East,3+,,,27500000
206,Unfurnished,East,2,,,11800000
207,Semi-Furnished,South-West,2,,,16000000
208,Unfurnished,East,1,,,2400000
209,Unfurnished,West,1,,,5000000
211,Unfurnished,East,1,,,6000000
215,Semi-Furnished,East,1,,,67000000
216,Unfurnished,East,3,,,35000000
217,Semi-Furnished,East,3+,,,25000000
219,Semi-Furnished,North,1,,,6000000
220,Semi-Furnished,North,1,,,5500000
221,Furnished,North-West,1,,,2699999
225,Semi-Furnished,East,2,,,5400000
227,Furnished,North-East,2,,,12500000
228,Furnished,,,,,4750000
229,Furnished,East,1,,,13000000
230,Semi-Furnished,,1,,,250000
231,Semi-Furnished,East,1,,,7000000
232,Unfurnished,West,2,,,15500000
233,Semi-Furnished,East,1,,,5000000
234,Unfurnished,East,1,,,9650000
235,Semi-Furnished,North-East,,,,3200000
236,Semi-Furnished,East,,,,15500000
237,Semi-Furnished,South,1,,,5900000
238,Furnished,North,1,,,9000000
239,Semi-Furnished,North-East,,,,2700000
240,Semi-Furnished,North-East,,,,2550000
242,Unfurnished,,0,,,1800000
243,Semi-Furnished,North,2,,,7500000
244,Semi-Furnished,North-East,1,,,5300000
246,Semi-Furnished,North-East,,,,4200000
247,Furnished,South,2,,,3800000
248,Unfurnished,East,1,,,5250000
249,Unfurnished,East,0,,,4500000
250,Semi-Furnished,North-East,,,,2400000
251,Unfurnished,East,1,,,2100000
252,Semi-Furnished,East,1,,,11500000
253,Unfurnished,West,1,,,6300000
254,Semi-Furnished,North,1,,,11000000
255,Semi-Furnished,South,1,,,10500000
256,Unfurnished,West,1,,,3200000
257,Furnished,North,3,,,18000000
258,Unfurnished,North-East,3,,,3800000
259,Semi-Furnished,North-East,,,,2900000
260,Semi-Furnished,North-East,,,,2850000
261,Semi-Furnished,East,3+,,,4900000
262,Unfurnished,West,0,,,2300000
263,Furnished,,,,,13000000
264,,East,1,,,3500000
265,Semi-Furnished,West,2,,,2999999
266,Furnished,North,1,,,6500000
268,Semi-Furnished,South,3+,,,3610000
272,Semi-Furnished,East,2,,,8000000
273,Semi-Furnished,East,3+,,,11500000
274,Semi-Furnished,East,,,,6700000
275,Furnished,North-East,,,,3650000
276,Unfurnished,,1,,,17900000
277,Unfurnished,North-East,,,,2900000
278,Unfurnished,South,1,,,3500000
279,Semi-Furnished,East,1,,,7500000
280,Semi-Furnished,,,,,17500000
281,Semi-Furnished,West,1,,,1749999
282,Furnished,East,1,,,3400000
283,Furnished,North-East,1,,,4500000
284,Furnished,East,3,,,12000000
285,Unfurnished,East,2,,,6000000
286,Semi-Furnished,East,2,,,4200000
287,Semi-Furnished,West,1,,,4700000
288,Semi-Furnished,,,,,6275000
289,Semi-Furnished,North-East,,,,4650000
290,Semi-Furnished,North-East,,,,2500000
291,Semi-Furnished,East,,,,6500000
292,Furnished,East,1,,,1850000
293,Furnished,,1,,,8200000
295,Furnished,East,1,,,8700000
296,Semi-Furnished,East,3+,,,13800000
297,Semi-Furnished,West,2,,,3500000
298,Semi-Furnished,South,0,,,5500000
299,Unfurnished,East,0,,,1000000
300,Furnished,,0,,,10000
301,Unfurnished,East,0,,,3500000
